"Nome do módulo","Nome de exibição","Tipo de driver","Data do link"
"mssmbios","Microsoft System Management BIOS Driver","Kernel ",""
"MSTEE","Conversor em T entre Coletores de stream Microsoft","Kernel ",""
"MTConfig","Microsoft Input Configuration Driver","Kernel ",""
"Mup","Mup","File System ",""
"mvumis","mvumis","Kernel ","23/05/2014 17:39:04"
"NativeWifiP","Filtro NativeWiFi","Kernel ",""
"ndfltr","Serviço NetworkDirect","Kernel ","19/06/2019 10:18:42"
"NDIS","Driver do Sistema NDIS","Kernel ",""
"NdisCap","Captura NDIS da Microsoft","Kernel ",""
"NdisImPlatform","Protocolo do Multiplexador de Adaptador de Rede da Microsoft","Kernel ",""
"NdisTapi","Driver TAPI NDIS de acesso remoto","Kernel ",""
"Ndisuio","NDIS Usermode I/O Protocol","Kernel ",""
"NdisVirtualBus","Enumerador de Adaptador de Rede Virtual Microsoft","Kernel ",""
"NdisWan","Driver WAN NDIS de acesso remoto","Kernel ",""
"ndiswanlegacy","Driver WAN NDIS HERDADO de Acesso Remoto","Kernel ",""
"NDKPerf","NDKPerf Driver","Kernel ",""
"NDKPing","NDKPing Driver","Kernel ",""
"ndproxy","NDIS Proxy Driver","Kernel ",""
"Ndu","Windows Network Data Usage Monitoring Driver","Kernel ",""
"NetAdapterCx","Network Adapter WDF Class Extension Library","Kernel ",""
"NetBIOS","NetBIOS Interface","File System ",""
"NetBT","NetBT","Kernel ",""
"netvsc","netvsc","Kernel ",""
"NetworkPrivacyPolicy","Microsoft Network Privacy Policy Service","Kernel ",""
"Npfs","Npfs","File System ",""
"npsvctrig","Named pipe service trigger provider","Kernel ",""
"nsiproxy","NSI Proxy Service Driver","Kernel ",""
"Ntfs","Ntfs","File System ",""
"Null","Null","Kernel ",""
"nvdimm","Driver de dispositivo NVDIMM da Microsoft","Kernel ",""
"nvmedisk","Driver de disco NVMe da Microsoft","Kernel ",""
"nvraid","nvraid","Kernel ","21/04/2014 15:28:42"
"nvstor","nvstor","Kernel ","21/04/2014 15:34:03"
"P9Rdr","Plan 9 Redirector Driver","Kernel ",""
"Parport","Driver de porta paralela","Kernel ",""
"partmgr","Driver de partição","Kernel ",""
"passthruparser","PassthroughParser","Kernel ",""
"pci","PCI Bus Driver","Kernel ",""
"pciide","pciide","Kernel ",""
"pcip","Driver de Proxy de PCI","Kernel ",""
"pcmcia","pcmcia","Kernel ",""
"pcw","Performance Counters for Windows Driver","Kernel ",""
"pdc","pdc","Kernel ",""
"PEAUTH","PEAUTH","Kernel ",""
"percsas2i","percsas2i","Kernel ","14/03/2016 21:50:11"
"percsas3i","percsas3i","Kernel ","01/06/2018 18:47:02"
"PktMon","Packet Monitor Driver","Kernel ",""
"PktMonApi","Packet Monitor Export Driver","Kernel ",""
"PlutonHeci","Serviço de Segurança Microsoft Pluton","Kernel ",""
"PlutonHsp2","Microsoft Pluton Service","Kernel ",""
"pmem","Driver de disco de memória persistente da Microsoft","Kernel ",""
"PNPMEM","Driver de módulo de memória da Microsoft","Kernel ",""
"portcfg","portcfg","Kernel ",""
"PptpMiniport","Miniporta de rede remota (PPTP)","Kernel ",""
"PRM","Driver do PRM da Microsoft","Kernel ",""
"Processor","Driver de processador","Kernel ",""
"Psched","Agendador de pacotes de serviço","Kernel ",""
"pvhdparser","pvhdparser","Kernel ",""
