
Nome da imagem            Identifi Nome da sessão       Sessão# Uso de memór Status          Nome de usuário                                    Tempo de CPU Título da janela                                                        
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         AUTORIDADE NT\SISTEMA                                   0:42:16 N/A                                                                     
svchost.exe                   5588 Services                   0     11.112 K Unknown         N/A                                                     0:00:00 N/A                                                                     
atieclxx.exe                  5760 Console                    1     20.532 K Running         N/A                                                     0:00:02 SmartDC                                                                 
vmcompute.exe                 3204 Services                   0     14.776 K Unknown         N/A                                                     0:00:00 N/A                                                                     
sihost.exe                    1668 Console                    1     51.532 K Running         <USER>                                      0:00:02 N/A                                                                     
svchost.exe                   3708 Console                    1     39.624 K Unknown         <USER>                                      0:00:00 N/A                                                                     
svchost.exe                   3952 Console                    1      7.588 K Unknown         <USER>                                      0:00:00 N/A                                                                     
svchost.exe                   3048 Console                    1     42.044 K Running         <USER>                                      0:00:00 Windows Push Notifications Platform                                     
taskhostw.exe                 5928 Console                    1     19.332 K Running         <USER>                                      0:00:00 Task Host Window                                                        
svchost.exe                   6236 Services                   0     25.560 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   6460 Services                   0     23.816 K Unknown         N/A                                                     0:00:00 N/A                                                                     
explorer.exe                  6592 Console                    1    300.964 K Running         <USER>                                      0:00:37 N/A                                                                     
ShellHost.exe                 6632 Console                    1     49.636 K Running         <USER>                                      0:00:00 Quick Settings                                                          
svchost.exe                   6880 Services                   0     16.244 K Unknown         N/A                                                     0:00:00 N/A                                                                     
CrossDeviceResume.exe         6924 Console                    1     57.872 K Running         <USER>                                      0:00:00 CrossDeviceResumeWindow                                                 
svchost.exe                   6908 Services                   0     23.536 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7252 Services                   0     41.536 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   7300 Services                   0      8.848 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7368 Services                   0     14.476 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7672 Console                    1     30.868 K Running         <USER>                                      0:00:00 N/A                                                                     
svchost.exe                   7896 Services                   0     11.900 K Unknown         N/A                                                     0:00:00 N/A                                                                     
StartMenuExperienceHost.e     7360 Console                    1    157.276 K Running         <USER>                                      0:00:03 Iniciar                                                                 
SearchHost.exe                7292 Console                    1    148.244 K Running         <USER>                                      0:00:07 Pesquisar                                                               
Widgets.exe                   4828 Console                    1     48.252 K Running         <USER>                                      0:00:00 OLEChannelWnd                                                           
RuntimeBroker.exe             8204 Console                    1     70.264 K Running         <USER>                                      0:00:03 N/A                                                                     
