
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61220  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61221  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61222  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61223  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61224  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61225  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61226  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61227  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61228  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61229  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61230  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61231  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61232  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61233  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61234  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61235  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61236  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61237  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61238  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61239  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61240  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61241  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61242  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61243  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61244  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61245  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61246  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61247  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61248  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61249  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61250  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61251  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61252  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61253  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61254  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61255  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61256  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61257  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61258  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61259  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61260  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61261  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61262  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61263  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61264  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61265  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61266  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61267  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61268  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61269  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61270  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61271  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61272  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61273  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61274  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61275  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61276  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61277  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61278  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61279  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61280  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:61281  [2600:9000:2353:5600:1c:aabc:1300:93a1]:443  TIME_WAIT       0
